,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.42,0.452,0.38799999999999996,0.42400000000000004,0.528,0.5720000000000001,0.512,0.44400000000000006,0.444,0.48,0.44400000000000006,0.552,0.536,0.44,0.5,0.5680000000000001,0.552,0.632
UAE-Large-V1,0.42,1.0,0.596,0.8,0.488,0.46799999999999997,0.46799999999999997,0.46,0.484,0.5159999999999999,0.644,0.54,0.44,0.44,0.88,0.45199999999999996,0.46399999999999997,0.548,0.48
bge-base-en-v1.5,0.452,0.596,1.0,0.5760000000000001,0.5840000000000001,0.5720000000000001,0.5680000000000001,0.5479999999999999,0.548,0.5920000000000001,0.6,0.5720000000000001,0.48400000000000004,0.46799999999999997,0.5559999999999999,0.664,0.512,0.608,0.58
bge-large-en-v1.5,0.38799999999999996,0.8,0.5760000000000001,1.0,0.508,0.44,0.46,0.46399999999999997,0.548,0.46399999999999997,0.5479999999999999,0.5479999999999999,0.444,0.47200000000000003,0.8079999999999999,0.444,0.484,0.5720000000000001,0.508
bge-small-en-v1.5,0.42400000000000004,0.488,0.5840000000000001,0.508,1.0,0.5159999999999999,0.484,0.5559999999999999,0.548,0.46399999999999997,0.5840000000000001,0.68,0.436,0.42,0.48,0.556,0.488,0.532,0.556
e5-base-v2,0.528,0.46799999999999997,0.5720000000000001,0.44,0.5159999999999999,1.0,0.6559999999999999,0.596,0.5840000000000001,0.56,0.5439999999999999,0.536,0.552,0.508,0.46,0.5720000000000001,0.56,0.6,0.5920000000000001
e5-large-v2,0.5720000000000001,0.46799999999999997,0.5680000000000001,0.46,0.484,0.6559999999999999,1.0,0.596,0.62,0.496,0.512,0.49199999999999994,0.512,0.508,0.44799999999999995,0.536,0.508,0.552,0.568
e5-small-v2,0.512,0.46,0.5479999999999999,0.46399999999999997,0.5559999999999999,0.596,0.596,1.0,0.5559999999999999,0.46,0.52,0.5039999999999999,0.54,0.5159999999999999,0.44,0.628,0.528,0.6040000000000001,0.6040000000000001
embed-english-v3.0,0.44400000000000006,0.484,0.548,0.548,0.548,0.5840000000000001,0.62,0.5559999999999999,1.0,0.4640000000000001,0.484,0.556,0.54,0.524,0.528,0.47600000000000003,0.46799999999999997,0.56,0.5720000000000001
gte-base,0.444,0.5159999999999999,0.5920000000000001,0.46399999999999997,0.46399999999999997,0.56,0.496,0.46,0.4640000000000001,1.0,0.5479999999999999,0.56,0.47200000000000003,0.47200000000000003,0.4759999999999999,0.54,0.47600000000000003,0.576,0.5479999999999999
gte-large,0.48,0.644,0.6,0.5479999999999999,0.5840000000000001,0.5439999999999999,0.512,0.52,0.484,0.5479999999999999,1.0,0.6559999999999999,0.45599999999999996,0.452,0.6040000000000001,0.584,0.532,0.5720000000000001,0.544
gte-small,0.44400000000000006,0.54,0.5720000000000001,0.5479999999999999,0.68,0.536,0.49199999999999994,0.5039999999999999,0.556,0.56,0.6559999999999999,1.0,0.49200000000000005,0.472,0.532,0.544,0.508,0.56,0.5840000000000001
gtr-t5-base,0.552,0.44,0.48400000000000004,0.444,0.436,0.552,0.512,0.54,0.54,0.47200000000000003,0.45599999999999996,0.49200000000000005,1.0,0.632,0.46399999999999997,0.528,0.5640000000000001,0.528,0.56
gtr-t5-large,0.536,0.44,0.46799999999999997,0.47200000000000003,0.42,0.508,0.508,0.5159999999999999,0.524,0.47200000000000003,0.452,0.472,0.632,1.0,0.48,0.48400000000000004,0.5920000000000001,0.572,0.568
mxbai-embed-large-v1,0.44,0.88,0.5559999999999999,0.8079999999999999,0.48,0.46,0.44799999999999995,0.44,0.528,0.4759999999999999,0.6040000000000001,0.532,0.46399999999999997,0.48,1.0,0.42,0.49599999999999994,0.54,0.512
sentence-t5-base,0.5,0.45199999999999996,0.664,0.444,0.556,0.5720000000000001,0.536,0.628,0.47600000000000003,0.54,0.584,0.544,0.528,0.48400000000000004,0.42,1.0,0.6559999999999999,0.596,0.6240000000000001
sentence-t5-large,0.5680000000000001,0.46399999999999997,0.512,0.484,0.488,0.56,0.508,0.528,0.46799999999999997,0.47600000000000003,0.532,0.508,0.5640000000000001,0.5920000000000001,0.49599999999999994,0.6559999999999999,1.0,0.5640000000000001,0.6240000000000001
text-embedding-3-large,0.552,0.548,0.608,0.5720000000000001,0.532,0.6,0.552,0.6040000000000001,0.56,0.576,0.5720000000000001,0.56,0.528,0.572,0.54,0.596,0.5640000000000001,1.0,0.6559999999999999
text-embedding-3-small,0.632,0.48,0.58,0.508,0.556,0.5920000000000001,0.568,0.6040000000000001,0.5720000000000001,0.5479999999999999,0.544,0.5840000000000001,0.56,0.568,0.512,0.6240000000000001,0.6240000000000001,0.6559999999999999,1.0
