,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.4473807238513121,0.47077510724569543,0.4266558931264813,0.39065000359118,0.4699326164032046,0.5181832546538429,0.503584846526023,0.43636683577860047,0.42736204971499087,0.41886877828054286,0.35961358902535373,0.4919961084666967,0.5237554602260485,0.43872526166643816,0.5047681558207874,0.49342492388932013,0.6057642357642358,0.5532889332889332
UAE-Large-V1,0.4473807238513121,1.0,0.5453979353979355,0.8409324009324008,0.42769230769230765,0.4228829993535876,0.4206636500754148,0.4070739064856712,0.4104654169360052,0.5292807192807192,0.562330218800807,0.43724497724497724,0.4183955913367678,0.4339604839604839,0.8921212121212122,0.4131129654659066,0.39431744725862367,0.4959166323872206,0.464973914973915
bge-base-en-v1.5,0.47077510724569543,0.5453979353979355,1.0,0.5171561771561772,0.5111355311355311,0.46637362637362634,0.45469452116510944,0.48501498501498497,0.4565260229966112,0.5882350982350982,0.5047952047952048,0.4639053103758986,0.4641542770954535,0.4910998805116452,0.5643156843156842,0.5102256566962449,0.5101856966562849,0.5568523633229515,0.5275579975579975
bge-large-en-v1.5,0.4266558931264813,0.8409324009324008,0.5171561771561772,1.0,0.4195130359836242,0.41825684119801765,0.3843891402714932,0.4085406750112633,0.4188644688644688,0.4994272394272394,0.4986705451411334,0.4180292909704675,0.41257141551259197,0.4256713221419103,0.7999999999999998,0.40913406854583323,0.394614927556104,0.46797124444183263,0.4392596292596293
bge-small-en-v1.5,0.39065000359118,0.42769230769230765,0.5111355311355311,0.4195130359836242,1.0,0.41906270200387846,0.3772067801479566,0.4257460186871952,0.4125030525030525,0.5039194139194139,0.4844322344322344,0.6273726273726273,0.4146837476249241,0.41974933563168854,0.44849816849816854,0.5110315175021057,0.42909156203273846,0.4599814564520447,0.4512360841772607
e5-base-v2,0.4699326164032046,0.4228829993535876,0.46637362637362634,0.41825684119801765,0.41906270200387846,1.0,0.5553035853035853,0.5618307183013065,0.4883634013045777,0.4354212454212454,0.3973260073260073,0.36796523737700204,0.4471609436315318,0.4694897259603142,0.43206636500754153,0.4325289089994972,0.4347188106011635,0.5361397426103308,0.5345979510685392
e5-large-v2,0.5181832546538429,0.4206636500754148,0.45469452116510944,0.3843891402714932,0.3772067801479566,0.5553035853035853,1.0,0.5445813010518893,0.48592916887034543,0.386854126265891,0.3941391941391942,0.3376636916574997,0.47837228131345777,0.5000147564853448,0.40458306399482874,0.4198563527975292,0.470335546806135,0.5279209679209679,0.5383483183483183
e5-small-v2,0.503584846526023,0.4070739064856712,0.48501498501498497,0.4085406750112633,0.4257460186871952,0.5618307183013065,0.5445813010518893,1.0,0.5066126030831913,0.4035207929325576,0.38273647920706744,0.3666860590390002,0.4552162216868099,0.5040835634953281,0.41099332040508507,0.4349612479024244,0.45001906590141877,0.5374384439090322,0.5203580732992497
embed-english-v3.0,0.43636683577860047,0.4104654169360052,0.4565260229966112,0.4188644688644688,0.4125030525030525,0.4883634013045777,0.48592916887034543,0.5066126030831913,1.0,0.38637793578970053,0.354888314300079,0.35765004517326493,0.44515216809334457,0.42848262848262847,0.40914673561732395,0.37979530273647916,0.3692702722114487,0.4753231082642848,0.4899951029362794
gte-base,0.42736204971499087,0.5292807192807192,0.5882350982350982,0.4994272394272394,0.5039194139194139,0.4354212454212454,0.386854126265891,0.4035207929325576,0.38637793578970053,1.0,0.5541480741480741,0.5557759887171652,0.42963957611016435,0.4334202398908281,0.5623942723942723,0.4788903253609136,0.43073403720462544,0.5252969252969253,0.5007980907980908
