,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.3769062884206984,0.38990486666155105,0.37528873954190245,0.3839905195053816,0.421846031894097,0.4317282550798424,0.43285824995330224,0.4016472495038261,0.3868094008607567,0.3899899107795168,0.3859472675147607,0.43386828186021675,0.42539421493240426,0.38427475296436486,0.42613462654160644,0.426179702702817,0.44566339358338325,0.4426430730831838
UAE-Large-V1,0.3769062884206984,1.0,0.4241999543818864,0.5432565407697285,0.39139385298468293,0.3932626630801083,0.3897778890140087,0.39195272903365835,0.3896524763068195,0.41284137321047254,0.4411717166232375,0.39943116156081365,0.3956105967639265,0.396931566688967,0.648419983291562,0.3936452248820536,0.38342240851289916,0.408513586743799,0.38881856786427027
bge-base-en-v1.5,0.38990486666155105,0.4241999543818864,1.0,0.42962885096276493,0.43908562743463003,0.43717494571306603,0.4272776046682925,0.40998544668166176,0.4129942136000602,0.43892345376586617,0.4128628192325555,0.40440122355926755,0.41440938623730017,0.4166857671165342,0.4338607338266701,0.4196793443444263,0.4021728267246082,0.4399549039416073,0.4245299860355839
bge-large-en-v1.5,0.37528873954190245,0.5432565407697285,0.42962885096276493,1.0,0.3985715004112615,0.3897416840939912,0.39983072460997504,0.3932395716025349,0.39847655658060227,0.39952699757085225,0.40745394021815357,0.39930968048408516,0.4026618719209057,0.4072730250790112,0.5310992291763319,0.3940727200827683,0.38364655646416584,0.4099713935199339,0.3968378257006867
bge-small-en-v1.5,0.3839905195053816,0.39139385298468293,0.43908562743463003,0.3985715004112615,1.0,0.411064834614768,0.40207951939875464,0.4132925634082447,0.4124552250083255,0.4010279149942044,0.41513295263295147,0.4757081766504727,0.3920936852115331,0.39152093788704384,0.40323466566718386,0.41052373432112454,0.39375634495049183,0.4035176978996165,0.41335512333728225
e5-base-v2,0.421846031894097,0.3932626630801083,0.43717494571306603,0.3897416840939912,0.411064834614768,1.0,0.4640162905672674,0.4428705808903318,0.438590526389536,0.4126428777490545,0.3866063751345672,0.40293245243628717,0.42044103738456107,0.4222689981187044,0.3991387411337409,0.4236255050364256,0.41476534922430874,0.44435935604479226,0.45040730673537593
e5-large-v2,0.4317282550798424,0.3897778890140087,0.4272776046682925,0.39983072460997504,0.40207951939875464,0.4640162905672674,1.0,0.44395839317028163,0.43608416647966025,0.4030743634705559,0.38103780740813475,0.38076052256704,0.4232863453721898,0.4261358226995979,0.3857191107335238,0.40868106724574177,0.39730741520669427,0.4407647757553992,0.4315656142421642
e5-small-v2,0.43285824995330224,0.39195272903365835,0.40998544668166176,0.3932395716025349,0.4132925634082447,0.4428705808903318,0.44395839317028163,1.0,0.4262062212347359,0.3855704339805397,0.3932659984831096,0.3856420941120369,0.4100291197031117,0.419500231777228,0.39471711705302803,0.4402319112162706,0.43246156026986887,0.43137090749722395,0.43405986574617833
embed-english-v3.0,0.4016472495038261,0.3896524763068195,0.4129942136000602,0.39847655658060227,0.4124552250083255,0.438590526389536,0.43608416647966025,0.4262062212347359,1.0,0.38989270900156703,0.36910438163636,0.39427594805775085,0.42427497436135897,0.40417976057266125,0.399188093903699,0.39295894283270655,0.3910894322106537,0.42130555495258,0.4121373024120759
gte-base,0.3868094008607567,0.41284137321047254,0.43892345376586617,0.39952699757085225,0.4010279149942044,0.4126428777490545,0.4030743634705559,0.3855704339805397,0.38989270900156703,1.0,0.4263993032710477,0.4229910191431309,0.40989002166891736,0.4070148814560321,0.4067456148579223,0.41315067084375506,0.3828383885290094,0.41627976101000674,0.41487039379049295
