,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.6401336599618125,0.6444921034320243,0.6411329837431187,0.6762180472098944,0.7003363737187952,0.7073400753945096,0.7021837251761149,0.6848003551224247,0.680281276911044,0.679740370985694,0.6962882347548333,0.7122607369003288,0.6831744956895112,0.652345122393779,0.7251341734343211,0.7180274359731615,0.7105518141669956,0.728772693310979
UAE-Large-V1,0.6401336599618125,1.0,0.6870945842927269,0.7668479674258064,0.657813511976397,0.6661721635159422,0.6673311281146799,0.670540715217841,0.6680405954081776,0.6650460910238745,0.7112757258630436,0.6863468186773695,0.6661271554795559,0.6665277899463726,0.8655851151328449,0.6758601548074568,0.6901777523700052,0.6822533772810612,0.6588272682020879
bge-base-en-v1.5,0.6444921034320243,0.6870945842927269,1.0,0.70040835556926,0.7167961326652792,0.7224096169375346,0.7129136872457377,0.6706110803970656,0.6943264822525308,0.6845689913176096,0.6808074595033855,0.6804019014009036,0.674981440954553,0.6698231447010917,0.6955228471342088,0.6949426704042093,0.6592975740420315,0.7009956696924025,0.6971477439629439
bge-large-en-v1.5,0.6411329837431187,0.7668479674258064,0.70040835556926,1.0,0.672262599944098,0.6650529793682343,0.7041419194092974,0.6690774854427047,0.6843247709019112,0.6548113851700436,0.672215562714667,0.6910168115947222,0.6834398270239732,0.689409073240401,0.7720484559680773,0.6829849220124338,0.6776236231690876,0.696695121107391,0.6797954798920088
bge-small-en-v1.5,0.6762180472098944,0.657813511976397,0.7167961326652792,0.672262599944098,1.0,0.7076288098876091,0.717091454700532,0.7106839080247573,0.7187992328543116,0.6422671299328592,0.6743058360214969,0.7190955515648555,0.6641998159268931,0.6643009966611798,0.6722840983577559,0.6750535348427112,0.6823769141037827,0.6921341360901454,0.7120565969276348
e5-base-v2,0.7003363737187952,0.6661721635159422,0.7224096169375346,0.6650529793682343,0.7076288098876091,1.0,0.7581419187448989,0.7134113372038567,0.7332581663848636,0.6881739698959017,0.6606584183432266,0.7194310390879511,0.7112272088671513,0.6978408105069938,0.6686123219356507,0.7302533977797906,0.7089239317422564,0.7168047822181904,0.7189076886945069
e5-large-v2,0.7073400753945096,0.6673311281146799,0.7129136872457377,0.7041419194092974,0.717091454700532,0.7581419187448989,1.0,0.7228207814168495,0.7398910727796839,0.6979096103184009,0.6572382144293818,0.7050812219689994,0.7065276318827499,0.694926405416177,0.6618719823643233,0.7167673092766712,0.6761854233879603,0.7230622178195023,0.6969732371874181
e5-small-v2,0.7021837251761149,0.670540715217841,0.6706110803970656,0.6690774854427047,0.7106839080247573,0.7134113372038567,0.7228207814168495,1.0,0.700163700356293,0.6575782006101417,0.6822243165549559,0.689113483586426,0.6873560302215614,0.678742564704118,0.6704307420150413,0.7711600978885413,0.7386703357516758,0.7005584861129005,0.7034186081083394
embed-english-v3.0,0.6848003551224247,0.6680405954081776,0.6943264822525308,0.6843247709019112,0.7187992328543116,0.7332581663848636,0.7398910727796839,0.700163700356293,1.0,0.6779470493303663,0.6642421316671612,0.7280830711047134,0.7204065509908006,0.6850295574138489,0.684272301030183,0.7063333258016413,0.7015953462343216,0.7031888282663127,0.678204742023469
gte-base,0.680281276911044,0.6650460910238745,0.6845689913176096,0.6548113851700436,0.6422671299328592,0.6881739698959017,0.6979096103184009,0.6575782006101417,0.6779470493303663,1.0,0.6831699057872126,0.6767498301150724,0.6740040075775812,0.6819476589089096,0.6407263753615255,0.6923593505901126,0.6586215359278816,0.6903146292644062,0.6848972903848088
