,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.9496565656565658,0.9395555555555556,0.9671111111111113,0.9475555555555555,0.9635555555555555,0.9487676767676768,0.9541010101010101,0.95410101010101,0.9502222222222223,0.92210101010101,0.9475555555555555,0.9635555555555555,0.957090909090909,0.9446464646464646,0.9786666666666668,0.9562020202020202,0.9576565656565657,0.9585454545454545
UAE-Large-V1,0.9496565656565658,1.0,0.9308282828282829,0.9337373737373738,0.9170909090909091,0.9650909090909091,0.9606464646464645,0.9715555555555555,0.9313131313131313,0.9526464646464646,0.9446464646464646,0.9162020202020201,0.9357575757575758,0.9520000000000001,0.9650909090909091,0.9701010101010102,0.9256565656565656,0.9328484848484849,0.9503030303030304
bge-base-en-v1.5,0.9395555555555556,0.9308282828282829,1.0,0.9526464646464646,0.9416565656565656,0.95410101010101,0.9665454545454546,0.9313939393939394,0.9526464646464646,0.9236363636363636,0.9292929292929293,0.9286464646464645,0.9519999999999998,0.9825454545454545,0.9532929292929293,0.9082828282828282,0.933090909090909,0.9511919191919191,0.9345454545454546
bge-large-en-v1.5,0.9671111111111113,0.9337373737373738,0.9526464646464646,1.0,0.9416565656565656,0.9621010101010101,0.9715555555555556,0.9576565656565657,0.9191919191919191,0.9532121212121212,0.9307474747474749,0.9147474747474748,0.9407676767676767,0.9576565656565655,0.9417373737373737,0.9576565656565657,0.9313131313131312,0.9348686868686867,0.9407676767676767
bge-small-en-v1.5,0.9475555555555555,0.9170909090909091,0.9416565656565656,0.9416565656565656,1.0,0.9665454545454546,0.9701010101010102,0.9556363636363636,0.9745454545454545,0.9410909090909091,0.9126464646464646,0.9177373737373736,0.9475555555555556,0.96210101010101,0.9256565656565656,0.9206464646464647,0.9410909090909091,0.9322020202020201,0.9235555555555556
e5-base-v2,0.9635555555555555,0.9650909090909091,0.95410101010101,0.9621010101010101,0.9665454545454546,1.0,0.9766464646464647,0.9396363636363637,0.9526464646464647,0.9372929292929293,0.9490909090909091,0.95410101010101,0.9526464646464646,0.9751111111111112,0.9701010101010101,0.9701010101010101,0.9541010101010101,0.9716363636363635,0.9745454545454545
e5-large-v2,0.9487676767676768,0.9606464646464645,0.9665454545454546,0.9715555555555556,0.9701010101010102,0.9766464646464647,1.0,0.9316363636363636,0.9686464646464646,0.9576565656565655,0.9351919191919191,0.9351919191919192,0.9425454545454545,0.95410101010101,0.9526464646464647,0.9730909090909091,0.9286464646464645,0.96210101010101,0.9701010101010101
e5-small-v2,0.9541010101010101,0.9715555555555555,0.9313939393939394,0.9576565656565657,0.9556363636363636,0.9396363636363637,0.9316363636363636,1.0,0.965090909090909,0.9511919191919191,0.9407676767676767,0.957090909090909,0.9316363636363636,0.9396363636363637,0.9635555555555557,0.9686464646464646,0.9591111111111111,0.9367272727272727,0.9257373737373737
embed-english-v3.0,0.95410101010101,0.9313131313131313,0.9526464646464646,0.9191919191919191,0.9745454545454545,0.9526464646464647,0.9686464646464646,0.965090909090909,1.0,0.95410101010101,0.9301010101010101,0.9556363636363636,0.9541010101010101,0.9532929292929293,0.9209696969696971,0.957090909090909,0.9381010101010101,0.9387474747474747,0.9221818181818182
gte-base,0.9502222222222223,0.9526464646464646,0.9236363636363636,0.9532121212121212,0.9410909090909091,0.9372929292929293,0.9576565656565655,0.9511919191919191,0.95410101010101,1.0,0.9431919191919192,0.9227474747474748,0.9591111111111111,0.95410101010101,0.9351919191919191,0.9532121212121212,0.9277575757575757,0.9526464646464646,0.9437575757575758
