,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.06705614201550791,0.04547717873238241,0.0676600307905855,0.04551292259581212,0.07210506310017704,0.08761154757576264,0.05295469336220751,0.058275241696489566,0.06234822263705344,0.052524795843397865,0.06000955487952769,0.0661841209883092,0.07274426502393949,0.05621393075252787,0.05428622502830109,0.12972566723188503,0.10234440914002599
UAE-Large-V1,0.06705614201550791,1.0,0.07957722885553614,0.24039000575889613,0.07482090665863503,0.05777363643051468,0.06460033589935463,0.054317033988098846,0.09600638412090577,0.16480275488857757,0.11108173955881068,0.05988849533405323,0.06794075941832428,0.2958031018422457,0.0763261338094775,0.06110052004147547,0.06717469689585993,0.06386367484365246
bge-base-en-v1.5,0.04547717873238241,0.07957722885553614,1.0,0.06864586858453388,0.08080623991344027,0.059044097438262944,0.03746292059689445,0.043144841952799017,0.10589314745996195,0.08204124991977514,0.0778747284490452,0.05493574906344311,0.05111212894003346,0.0734392417900294,0.04714118265818874,0.04350003477333295,0.04503678869133199,0.05338873874423845
bge-large-en-v1.5,0.0676600307905855,0.24039000575889613,0.06864586858453388,1.0,0.06107308855528941,0.06828108211668367,0.055550794691378504,0.042426197830785106,0.08832040257759836,0.13328557525586246,0.08620584415648641,0.0600340447275455,0.056202777765591,0.2260113682766416,0.06691032325530127,0.05616789257218056,0.07835804459401693,0.07024781714869711
bge-small-en-v1.5,0.04551292259581212,0.07482090665863503,0.08080623991344027,0.06107308855528941,1.0,0.04302284887853337,0.04364015443220585,0.054183147694607456,0.05480568523586502,0.06904660213324702,0.10769764528998962,0.05815160287120692,0.04636436936687255,0.07101434053734096,0.044147171814558746,0.030985437091215727,0.03210129331795506,0.04342924706958475
e5-base-v2,0.07210506310017704,0.05777363643051468,0.059044097438262944,0.06828108211668367,0.04302284887853337,1.0,0.08803662067965547,0.0857705717089349,0.089859432753344,0.06875789901457086,0.06256856715638548,0.06327297119686678,0.05240490054597134,0.0702359383558082,0.05238923772018077,0.036012744506306454,0.06555498532021606,0.0932313129681051
e5-large-v2,0.08761154757576264,0.06460033589935463,0.03746292059689445,0.055550794691378504,0.04364015443220585,0.08803662067965547,1.0,0.09211985952320922,0.04561479912568412,0.06002088585944522,0.05294026663709578,0.05536222862690458,0.05940441094475021,0.06319273927245908,0.056700104471205576,0.050156936429304286,0.0778977126101362,0.06648904040349131
e5-small-v2,0.05295469336220751,0.054317033988098846,0.043144841952799017,0.042426197830785106,0.054183147694607456,0.0857705717089349,0.09211985952320922,1.0,0.029911204489106318,0.040052877767479546,0.04173479162116205,0.04177070493607134,0.03681466237475155,0.0478360896568069,0.040765075907072665,0.036684658999149876,0.0444070513274421,0.04518689426223164
gte-base,0.058275241696489566,0.09600638412090577,0.10589314745996195,0.08832040257759836,0.05480568523586502,0.089859432753344,0.04561479912568412,0.029911204489106318,1.0,0.127032135654946,0.11693861380286195,0.06921390627644829,0.056686409579353676,0.10709140352476687,0.06082985028145463,0.05072066601535883,0.07332417024103277,0.07886369875987818
gte-large,0.06234822263705344,0.16480275488857757,0.08204124991977514,0.13328557525586246,0.06904660213324702,0.06875789901457086,0.06002088585944522,0.040052877767479546,0.127032135654946,1.0,0.12141929773002275,0.06468146089878757,0.059559680159889626,0.18553950409669473,0.07069445229578754,0.056366106123914295,0.07825980422389386,0.08192298849274332
gte-small,0.052524795843397865,0.11108173955881068,0.0778747284490452,0.08620584415648641,0.10769764528998962,0.06256856715638548,0.05294026663709578,0.04173479162116205,0.11693861380286195,0.12141929773002275,1.0,0.05906416365246555,0.04102138548875514,0.10462138597020777,0.05859335558234756,0.05019815804146174,0.055339844251911276,0.05747598393921191
gtr-t5-base,0.06000955487952769,0.05988849533405323,0.05493574906344311,0.0600340447275455,0.05815160287120692,0.06327297119686678,0.05536222862690458,0.04177070493607134,0.06921390627644829,0.06468146089878757,0.05906416365246555,1.0,0.13351497618543504,0.0495643905104922,0.08315780190447385,0.06602498067694333,0.07161297692662143,0.07858683648506283
gtr-t5-large,0.0661841209883092,0.06794075941832428,0.05111212894003346,0.056202777765591,0.04636436936687255,0.05240490054597134,0.05940441094475021,0.03681466237475155,0.056686409579353676,0.059559680159889626,0.04102138548875514,0.13351497618543504,1.0,0.055155527470147445,0.07158409538479933,0.07672900122152017,0.08159133396854645,0.08804889426670838
mxbai-embed-large-v1,0.07274426502393949,0.2958031018422457,0.0734392417900294,0.2260113682766416,0.07101434053734096,0.0702359383558082,0.06319273927245908,0.0478360896568069,0.10709140352476687,0.18553950409669473,0.10462138597020777,0.0495643905104922,0.055155527470147445,1.0,0.06860967528456711,0.0564978793388422,0.07013998329098138,0.07131043218026456
sentence-t5-base,0.05621393075252787,0.0763261338094775,0.04714118265818874,0.06691032325530127,0.044147171814558746,0.05238923772018077,0.056700104471205576,0.040765075907072665,0.06082985028145463,0.07069445229578754,0.05859335558234756,0.08315780190447385,0.07158409538479933,0.06860967528456711,1.0,0.1033026540794637,0.06415312118991434,0.05563094052370166
sentence-t5-large,0.05428622502830109,0.06110052004147547,0.04350003477333295,0.05616789257218056,0.030985437091215727,0.036012744506306454,0.050156936429304286,0.036684658999149876,0.05072066601535883,0.056366106123914295,0.05019815804146174,0.06602498067694333,0.07672900122152017,0.0564978793388422,0.1033026540794637,1.0,0.06764341403156075,0.05967674812016562
text-embedding-3-large,0.12972566723188503,0.06717469689585993,0.04503678869133199,0.07835804459401693,0.03210129331795506,0.06555498532021606,0.0778977126101362,0.0444070513274421,0.07332417024103277,0.07825980422389386,0.055339844251911276,0.07161297692662143,0.08159133396854645,0.07013998329098138,0.06415312118991434,0.06764341403156075,1.0,0.1478388953212918
text-embedding-3-small,0.10234440914002599,0.06386367484365246,0.05338873874423845,0.07024781714869711,0.04342924706958475,0.0932313129681051,0.06648904040349131,0.04518689426223164,0.07886369875987818,0.08192298849274332,0.05747598393921191,0.07858683648506283,0.08804889426670838,0.07131043218026456,0.05563094052370166,0.05967674812016562,0.1478388953212918,1.0
