,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.23155555555555554,0.12727272727272726,0.2212929292929293,0.12,0.25377777777777777,0.2871515151515151,0.1568888888888889,0.16577777777777775,0.17555555555555558,0.11511111111111111,0.16666666666666669,0.18226262626262624,0.25555555555555554,0.18933333333333333,0.18133333333333332,0.43470707070707065,0.32711111111111113
UAE-Large-V1,0.23155555555555554,1.0,0.2231111111111111,0.6888484848484849,0.24133333333333332,0.17288888888888893,0.2391111111111111,0.16133333333333333,0.3133333333333333,0.5629898989898989,0.3742222222222222,0.18,0.2178181818181818,0.7696969696969695,0.26799999999999996,0.19777777777777777,0.19414141414141414,0.16193939393939394
bge-base-en-v1.5,0.12727272727272726,0.2231111111111111,1.0,0.1675959595959596,0.2662222222222222,0.18888888888888886,0.07022222222222221,0.11333333333333333,0.3259393939393939,0.24444444444444444,0.24727272727272726,0.17288888888888887,0.13955555555555554,0.1871111111111111,0.1391111111111111,0.11511111111111111,0.08355555555555556,0.1271111111111111
bge-large-en-v1.5,0.2212929292929293,0.6888484848484849,0.1675959595959596,1.0,0.2,0.2271111111111111,0.17644444444444446,0.10444444444444445,0.29777777777777775,0.47422222222222227,0.25907070707070706,0.16432323232323232,0.17838383838383837,0.620040404040404,0.21333333333333335,0.1803232323232323,0.26298989898989894,0.19959595959595958
bge-small-en-v1.5,0.12,0.24133333333333332,0.2662222222222222,0.2,1.0,0.13733333333333334,0.13333333333333333,0.16711111111111113,0.1711111111111111,0.21822222222222223,0.38888888888888884,0.20799999999999996,0.14133333333333334,0.2208888888888889,0.1413333333333333,0.10266666666666666,0.04933333333333333,0.12133333333333333
e5-base-v2,0.25377777777777777,0.17288888888888893,0.18888888888888886,0.2271111111111111,0.13733333333333334,1.0,0.2697777777777778,0.2626666666666666,0.352,0.2741818181818182,0.20218181818181818,0.18666666666666665,0.1231111111111111,0.24040404040404037,0.15866666666666665,0.06844444444444445,0.17955555555555555,0.32266666666666666
e5-large-v2,0.2871515151515151,0.2391111111111111,0.07022222222222221,0.17644444444444446,0.13333333333333333,0.2697777777777778,1.0,0.3217777777777778,0.1111111111111111,0.19511111111111112,0.1631111111111111,0.15333333333333335,0.16444444444444442,0.24,0.21648484848484847,0.1653333333333333,0.2551111111111111,0.2155959595959596
e5-small-v2,0.1568888888888889,0.16133333333333333,0.11333333333333333,0.10444444444444445,0.16711111111111113,0.2626666666666666,0.3217777777777778,1.0,0.04666666666666667,0.08,0.09466666666666666,0.10666666666666666,0.10400000000000001,0.12,0.10977777777777778,0.09777777777777778,0.13422222222222221,0.148
gte-base,0.16577777777777775,0.3133333333333333,0.3259393939393939,0.29777777777777775,0.1711111111111111,0.352,0.1111111111111111,0.04666666666666667,1.0,0.4035151515151515,0.39729292929292925,0.24,0.168,0.3395555555555555,0.20266666666666666,0.1111111111111111,0.22933333333333333,0.21466666666666667
gte-large,0.17555555555555558,0.5629898989898989,0.24444444444444444,0.47422222222222227,0.21822222222222223,0.2741818181818182,0.19511111111111112,0.08,0.4035151515151515,1.0,0.37022222222222223,0.21555555555555558,0.17777777777777778,0.599111111111111,0.27466666666666667,0.18355555555555558,0.2155959595959596,0.23555555555555555
gte-small,0.11511111111111111,0.3742222222222222,0.24727272727272726,0.25907070707070706,0.38888888888888884,0.20218181818181818,0.1631111111111111,0.09466666666666666,0.39729292929292925,0.37022222222222223,1.0,0.20355555555555555,0.1,0.3213333333333333,0.1902222222222222,0.14755555555555555,0.11599999999999999,0.14933333333333335
gtr-t5-base,0.16666666666666669,0.18,0.17288888888888887,0.16432323232323232,0.20799999999999996,0.18666666666666665,0.15333333333333335,0.10666666666666666,0.24,0.21555555555555558,0.20355555555555555,1.0,0.49296969696969695,0.12,0.2955555555555555,0.1982222222222222,0.2106262626262626,0.24371717171717172
gtr-t5-large,0.18226262626262624,0.2178181818181818,0.13955555555555554,0.17838383838383837,0.14133333333333334,0.1231111111111111,0.16444444444444442,0.10400000000000001,0.168,0.17777777777777778,0.1,0.49296969696969695,1.0,0.1471111111111111,0.20666666666666667,0.22315151515151513,0.24549494949494954,0.2852929292929293
