,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.1912983462218937,0.11478778695123429,0.20917954693409682,0.12184217661616832,0.20873680122706628,0.2637280369793538,0.18233183293231955,0.16521877924701134,0.16909386285079056,0.13451670613134722,0.15743277212615758,0.17771593334858643,0.21596123011200702,0.17987849015320034,0.1962508293100373,0.34258259771771526,0.31134824593782556
UAE-Large-V1,0.1912983462218937,1.0,0.19945552026096192,0.5393225768375132,0.20319507843239404,0.17048205589181606,0.19625278671781657,0.18917714615106007,0.27410171711715914,0.43901673026689314,0.3032712959277766,0.17727381486855937,0.22569071382597594,0.6281307759599867,0.23313941248921857,0.20283103503369712,0.1820439161160662,0.1667300134369392
bge-base-en-v1.5,0.11478778695123429,0.19945552026096192,1.0,0.17067912426555615,0.2387960896679431,0.15769701366835756,0.09254831923714091,0.11985701505454659,0.26373143723771364,0.23213693839073632,0.2117352516832325,0.1628493246231269,0.14189804414944818,0.181398699726695,0.12766906535139114,0.1246670554101211,0.11435540588648233,0.14070067870311687
bge-large-en-v1.5,0.20917954693409682,0.5393225768375132,0.17067912426555615,1.0,0.17313672781174538,0.20093076402424778,0.16763266018756431,0.14733734200619594,0.23274732474805476,0.3751135558081839,0.2266545220850311,0.1729401778300803,0.1778353654111824,0.5264397186866024,0.21065677432606222,0.18902782371079394,0.22591344484629747,0.18584443214873622
bge-small-en-v1.5,0.12184217661616832,0.20319507843239404,0.2387960896679431,0.17313672781174538,1.0,0.11668840406710937,0.12748904464600197,0.17724209588735135,0.1602603982026559,0.1991331488363656,0.29076783973287157,0.1726157382582339,0.1437494108041701,0.19713873076260102,0.1436886991072036,0.10221627114085319,0.08289559549414321,0.1406461720894374
e5-base-v2,0.20873680122706628,0.17048205589181606,0.15769701366835756,0.20093076402424778,0.11668840406710937,1.0,0.24399139585387167,0.239986908931008,0.2859773415695185,0.220506883694267,0.19926301157163231,0.17041130251563338,0.12763042296598084,0.2265377153674908,0.16686234561133034,0.08698516692278851,0.18021438700161016,0.27656769778328844
e5-large-v2,0.2637280369793538,0.19625278671781657,0.09254831923714091,0.16763266018756431,0.12748904464600197,0.24399139585387167,1.0,0.28270733614373883,0.13121039040307217,0.19609740853525642,0.16098042879426339,0.16317224470664685,0.17669712086046563,0.20861611459568175,0.2093376707727475,0.1677355057064148,0.25348221862171444,0.21377753595929547
e5-small-v2,0.18233183293231955,0.18917714615106007,0.11985701505454659,0.14733734200619594,0.17724209588735135,0.239986908931008,0.28270733614373883,1.0,0.0962675270857089,0.13685552787289482,0.12290414347891343,0.11506834903953472,0.10730018094780001,0.16198357093886503,0.1345900590561859,0.09903872110460349,0.1562591947734805,0.14051931472313442
gte-base,0.16521877924701134,0.27410171711715914,0.26373143723771364,0.23274732474805476,0.1602603982026559,0.2859773415695185,0.13121039040307217,0.0962675270857089,1.0,0.3346810847619811,0.303312004148922,0.20467505129073676,0.16194220111121121,0.28065044474818296,0.18036160131115195,0.1339307389339121,0.19301163544679134,0.2013873725188682
gte-large,0.16909386285079056,0.43901673026689314,0.23213693839073632,0.3751135558081839,0.1991331488363656,0.220506883694267,0.19609740853525642,0.13685552787289482,0.3346810847619811,1.0,0.3108590792288604,0.1857273872287523,0.2008159267394498,0.45754397412716946,0.21762070285571017,0.1636393448105256,0.20789813283984274,0.22762192956245605
