,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.34775347088835995,0.3416489913384204,0.35069187400460594,0.3239995099023054,0.3360080794789835,0.2906326668032678,0.2732788265612795,0.4128215530611678,0.3369644842088044,0.2974156000819806,0.3148195799942844,0.2868282433668784,0.3247002683821145,0.3536917183879576,0.27582617584793734,0.31682913407844904,0.4496528128583465,0.39356336939374204
UAE-Large-V1,0.34775347088835995,1.0,0.41141134225888004,0.816264020468106,0.3926143384908537,0.2909941487927093,0.2579327658228936,0.231447289833015,0.3597306015989418,0.3757249084701364,0.4182306929533655,0.3506626944205297,0.23175876877098564,0.2598932117207241,0.8467903292852843,0.2627146580476963,0.2876454783076474,0.3480173486307787,0.3357669071078497
bge-base-en-v1.5,0.3416489913384204,0.41141134225888004,1.0,0.395123677077113,0.4174867108670114,0.37249885881713934,0.32705107195176863,0.315985345835391,0.3873173972251869,0.5641071476396857,0.43635960757955855,0.4308520804070914,0.24981505891654263,0.2822240988901207,0.4317553404362681,0.2825194464111112,0.28134257801722123,0.38294800341657564,0.38287880501856436
bge-large-en-v1.5,0.35069187400460594,0.816264020468106,0.395123677077113,1.0,0.39021233331955585,0.28595302260740774,0.24367221866006245,0.2216141514323521,0.35608266721648213,0.35190693131216766,0.378820753937411,0.33126530624762845,0.2288853766136977,0.2565570778388435,0.7543558464819818,0.25337491093216236,0.2844705313462649,0.3393886742386241,0.3221328882335008
bge-small-en-v1.5,0.3239995099023054,0.3926143384908537,0.4174867108670114,0.39021233331955585,1.0,0.3177392877476558,0.27653553670306597,0.28464197684271225,0.3351554273721558,0.3811732861376629,0.360162280532263,0.47424617164549376,0.24167555385130754,0.2561567482369131,0.4023440626515496,0.2674184602380453,0.27156731875412415,0.34167728803019726,0.34300184854281207
e5-base-v2,0.3360080794789835,0.2909941487927093,0.37249885881713934,0.28595302260740774,0.3177392877476558,1.0,0.4408471687508313,0.43426967031433894,0.4164107369918277,0.36649053353853034,0.3341208082407428,0.35616591234417344,0.27521464627110065,0.30410113492038815,0.30887706292153216,0.29573791151694756,0.29554621790770474,0.3641340632106354,0.3693634071937676
e5-large-v2,0.2906326668032678,0.2579327658228936,0.32705107195176863,0.24367221866006245,0.27653553670306597,0.4408471687508313,1.0,0.4362036422355085,0.4447106493916966,0.3360530207204655,0.3490020532478657,0.3318405515261755,0.24795610098816492,0.2827468722044256,0.28000640019259904,0.2889331722668892,0.27668786535591583,0.35858764698777973,0.3686164448419857
e5-small-v2,0.2732788265612795,0.231447289833015,0.315985345835391,0.2216141514323521,0.28464197684271225,0.43426967031433894,0.4362036422355085,1.0,0.35205464056458924,0.31739886199298367,0.31142893060637117,0.3469952187022632,0.24605716573475925,0.2720422056521747,0.25067835919145554,0.28558444122259236,0.26496822338895565,0.3279421155495835,0.349021079635779
embed-english-v3.0,0.4128215530611678,0.3597306015989418,0.3873173972251869,0.35608266721648213,0.3351554273721558,0.4164107369918277,0.4447106493916966,0.35205464056458924,1.0,0.4042742818118717,0.36949018818542734,0.37472927174256054,0.3091348306115439,0.3530569650075755,0.37600173608332055,0.31650330043169345,0.35643763609621715,0.4277432662465443,0.4095734644360086
gte-base,0.3369644842088044,0.3757249084701364,0.5641071476396857,0.35190693131216766,0.3811732861376629,0.36649053353853034,0.3360530207204655,0.31739886199298367,0.4042742818118717,1.0,0.5145917473508781,0.5062937478477612,0.23874405919906486,0.270866047299183,0.40413704566958075,0.29127550089466736,0.28651397850799337,0.38205202270330557,0.38664473852172143
gte-large,0.2974156000819806,0.4182306929533655,0.43635960757955855,0.378820753937411,0.360162280532263,0.3341208082407428,0.3490020532478657,0.31142893060637117,0.36949018818542734,0.5145917473508781,1.0,0.48681401522081535,0.22397416963549158,0.25353949999444403,0.46262108092934723,0.2950953990709612,0.2783359946965777,0.38610889616574356,0.393257943032997
gte-small,0.3148195799942844,0.3506626944205297,0.4308520804070914,0.33126530624762845,0.47424617164549376,0.35616591234417344,0.3318405515261755,0.3469952187022632,0.37472927174256054,0.5062937478477612,0.48681401522081535,1.0,0.2437737050888362,0.264748120239087,0.38067691279782656,0.30463238659346825,0.2895882926305709,0.3766133312392288,0.38238179826419677
