,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.3896161616161616,0.534989898989899,0.396,0.4228282828282828,0.5927676767676767,0.32282828282828285,0.3351111111111111,0.6057373737373737,0.4398787878787879,0.44262626262626265,0.3472727272727273,0.3904242424242424,0.49955555555555553,0.4044040404040404,0.31022222222222223,0.36626262626262623,0.5701414141414141,0.5368888888888889
UAE-Large-V1,0.3896161616161616,1.0,0.6501010101010101,0.7666262626262627,0.4665454545454545,0.549050505050505,0.3642020202020202,0.3844444444444444,0.32193939393939397,0.5491717171717171,0.5746262626262626,0.5245252525252525,0.31955555555555554,0.3204444444444444,0.869979797979798,0.2593939393939394,0.292,0.39240404040404037,0.3708282828282829
bge-base-en-v1.5,0.534989898989899,0.6501010101010101,1.0,0.5742626262626263,0.5648888888888889,0.628929292929293,0.40981818181818186,0.4777777777777778,0.4924848484848486,0.5399595959595959,0.5184242424242425,0.4934949494949495,0.36181818181818187,0.4139393939393939,0.6732121212121212,0.4271919191919191,0.34105050505050505,0.5025050505050505,0.46226262626262626
bge-large-en-v1.5,0.396,0.7666262626262627,0.5742626262626263,1.0,0.434989898989899,0.5397171717171717,0.3972121212121212,0.36800000000000005,0.37171717171717167,0.47309090909090906,0.5222222222222223,0.4696565656565656,0.3302222222222222,0.3293333333333333,0.7413333333333333,0.2795151515151515,0.32707070707070707,0.353010101010101,0.3675151515151515
bge-small-en-v1.5,0.4228282828282828,0.4665454545454545,0.5648888888888889,0.434989898989899,1.0,0.44804040404040407,0.3066666666666667,0.37422222222222223,0.33959595959595956,0.3791111111111111,0.42698989898989903,0.4046060606060605,0.35511111111111104,0.3688888888888889,0.49810101010101016,0.2754747474747475,0.28193939393939393,0.3394343434343435,0.3010909090909091
e5-base-v2,0.5927676767676767,0.549050505050505,0.628929292929293,0.5397171717171717,0.44804040404040407,1.0,0.5153131313131313,0.5964444444444443,0.5822222222222222,0.44836363636363635,0.45127272727272727,0.42868686868686867,0.3884444444444445,0.45216161616161615,0.6094949494949494,0.4092121212121212,0.4523232323232323,0.542141414141414,0.5696969696969697
e5-large-v2,0.32282828282828285,0.3642020202020202,0.40981818181818186,0.3972121212121212,0.3066666666666667,0.5153131313131313,1.0,0.47010101010101013,0.3911919191919192,0.4088888888888889,0.34654545454545455,0.35733333333333334,0.24622222222222223,0.29200000000000004,0.40343434343434337,0.28375757575757576,0.31632323232323234,0.4537373737373738,0.4072727272727273
e5-small-v2,0.3351111111111111,0.3844444444444444,0.4777777777777778,0.36800000000000005,0.37422222222222223,0.5964444444444443,0.47010101010101013,1.0,0.45911111111111114,0.3217777777777778,0.3453333333333333,0.304,0.25022222222222223,0.2888888888888889,0.4368888888888889,0.30977777777777776,0.3528888888888889,0.4671111111111111,0.43777777777777777
embed-english-v3.0,0.6057373737373737,0.32193939393939397,0.4924848484848486,0.37171717171717167,0.33959595959595956,0.5822222222222222,0.3911919191919192,0.45911111111111114,1.0,0.4814141414141414,0.36105050505050507,0.32137373737373737,0.3635555555555555,0.3914343434343434,0.3557575757575758,0.34032323232323236,0.4110303030303031,0.6593131313131313,0.5117575757575757
gte-base,0.4398787878787879,0.5491717171717171,0.5399595959595959,0.47309090909090906,0.3791111111111111,0.44836363636363635,0.4088888888888889,0.3217777777777778,0.4814141414141414,1.0,0.5521212121212121,0.5562828282828283,0.3,0.3284444444444445,0.5727272727272726,0.32416161616161615,0.34416161616161617,0.44327272727272726,0.39838383838383834
gte-large,0.44262626262626265,0.5746262626262626,0.5184242424242425,0.5222222222222223,0.42698989898989903,0.45127272727272727,0.34654545454545455,0.3453333333333333,0.36105050505050507,0.5521212121212121,1.0,0.5332525252525252,0.30933333333333335,0.31866666666666665,0.6051313131313131,0.395959595959596,0.26395959595959595,0.4284040404040404,0.3430707070707071
gte-small,0.3472727272727273,0.5245252525252525,0.4934949494949495,0.4696565656565656,0.4046060606060605,0.42868686868686867,0.35733333333333334,0.304,0.32137373737373737,0.5562828282828283,0.5332525252525252,1.0,0.2964444444444444,0.37733333333333335,0.5423434343434343,0.373050505050505,0.2934545454545454,0.32153535353535356,0.34193939393939393
gtr-t5-base,0.3904242424242424,0.31955555555555554,0.36181818181818187,0.3302222222222222,0.35511111111111104,0.3884444444444445,0.24622222222222223,0.25022222222222223,0.3635555555555555,0.3,0.30933333333333335,0.2964444444444444,1.0,0.533979797979798,0.31733333333333336,0.32799999999999996,0.2995555555555556,0.3259393939393939,0.3581010101010101
gtr-t5-large,0.49955555555555553,0.3204444444444444,0.4139393939393939,0.3293333333333333,0.3688888888888889,0.45216161616161615,0.29200000000000004,0.2888888888888889,0.3914343434343434,0.3284444444444445,0.31866666666666665,0.37733333333333335,0.533979797979798,1.0,0.3862222222222222,0.3795959595959596,0.37066666666666664,0.3698585858585859,0.4363232323232323
