,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.3408022326236619,0.3874743925719899,0.35780413392185784,0.31939698886067325,0.42356426743289716,0.30775682895251305,0.2801199273475233,0.4982303710149704,0.3358720546090619,0.3470034605580294,0.29433484112522107,0.31938050557297065,0.38943238927352636,0.3453350016776159,0.28186497679999606,0.3204395834759896,0.46233632427723664,0.43613997089700063
UAE-Large-V1,0.3408022326236619,1.0,0.5186804795108173,0.6184358202307745,0.41871169568495886,0.41194975368070075,0.31609945468241063,0.3237386718809511,0.3033038547091245,0.43064993681613584,0.4199052643874537,0.41762699943855,0.2694867782990215,0.26769894234194125,0.7359182031151633,0.2407056658467378,0.2691510221615844,0.3387690102323948,0.327113098849458
bge-base-en-v1.5,0.3874743925719899,0.5186804795108173,1.0,0.47519242011196655,0.4575406865845285,0.44869497399144925,0.3566669822368096,0.36316426695717685,0.40321479413556255,0.44405871705302646,0.43168361059867233,0.41939986802173534,0.30757116448560706,0.3053761838223795,0.49479218953726334,0.35052812392187244,0.2998138002875519,0.3956920182252261,0.37582463178865466
bge-large-en-v1.5,0.35780413392185784,0.6184358202307745,0.47519242011196655,1.0,0.38414219136552497,0.39165693053802714,0.3293044279217194,0.30547232871170266,0.3310818309540856,0.39416096114959565,0.38712051641909156,0.3949046539750616,0.2711444491551267,0.2775964119074448,0.5865133330190445,0.255365428000044,0.27623349279908693,0.3303024160846726,0.3248539229718244
bge-small-en-v1.5,0.31939698886067325,0.41871169568495886,0.4575406865845285,0.38414219136552497,1.0,0.3698288530956279,0.28262077982599526,0.32147346125546916,0.2738032977572766,0.31964757578368186,0.3547780333580668,0.35383797702909464,0.25904392351437144,0.29088275478525294,0.43437274218035854,0.2447990063931096,0.2359721339929775,0.28199752687173446,0.26473969980794565
e5-base-v2,0.42356426743289716,0.41194975368070075,0.44869497399144925,0.39165693053802714,0.3698288530956279,1.0,0.43055971786915026,0.44226264313397595,0.48357627821613514,0.36873973355121087,0.33644831393901553,0.38559793881543475,0.2917086615107629,0.36071364662819305,0.4474019800289249,0.33576007703539174,0.36769051610541204,0.42397419317314616,0.4333592522609005
e5-large-v2,0.30775682895251305,0.31609945468241063,0.3566669822368096,0.3293044279217194,0.28262077982599526,0.43055971786915026,1.0,0.3848175190953399,0.3439838957777795,0.3565904376026723,0.29853392238211546,0.32560397603274366,0.21188335095314037,0.27151054860584184,0.34500505518864927,0.25719080306205766,0.28759895082408776,0.3806031634823592,0.3433700615566313
e5-small-v2,0.2801199273475233,0.3237386718809511,0.36316426695717685,0.30547232871170266,0.32147346125546916,0.44226264313397595,0.3848175190953399,1.0,0.375567816893954,0.2752665197495264,0.3148380556196042,0.28501870990108363,0.20057384531491237,0.25283602002850264,0.3446250742067269,0.27501008910871183,0.28158736838011733,0.3892487325117105,0.3617942408927576
embed-english-v3.0,0.4982303710149704,0.3033038547091245,0.40321479413556255,0.3310818309540856,0.2738032977572766,0.48357627821613514,0.3439838957777795,0.375567816893954,1.0,0.38946150155247017,0.28839550376833417,0.3088256229575947,0.3068958998186086,0.3497379868022607,0.2964855138717272,0.30340896240614257,0.3435382414991011,0.5175058722930936,0.4192596783455454
gte-base,0.3358720546090619,0.43064993681613584,0.44405871705302646,0.39416096114959565,0.31964757578368186,0.36873973355121087,0.3565904376026723,0.2752665197495264,0.38946150155247017,1.0,0.4327733080229372,0.46117047632408403,0.25019595114630966,0.2808847175118864,0.43918177539097825,0.2780379935077435,0.29089071993212506,0.3533971448556894,0.3228736224698598
