,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.2354008858589867,0.26758208941818956,0.24423852935684573,0.21267551619942143,0.2941362633710313,0.1993858562810188,0.1866724031649248,0.340725440888402,0.2348474334749845,0.24147762987022417,0.20450920476501155,0.21822546263505996,0.2553041160700011,0.23969010786014391,0.19623451181972507,0.21707718132507053,0.31891897892664606,0.2912601249149787
UAE-Large-V1,0.2354008858589867,1.0,0.3352451051271494,0.46896987128249257,0.2626291336756347,0.2567557108827373,0.21325599744479193,0.19767017234412287,0.21424072313959364,0.2943093639671281,0.30457732143911737,0.28498627597174286,0.17714590684733397,0.1876686186240636,0.5731767074306576,0.16869676632317884,0.19068282027821973,0.23364240895499477,0.21933760595653967
bge-base-en-v1.5,0.26758208941818956,0.3352451051271494,1.0,0.297386797162725,0.28631421527020007,0.29627535545074507,0.2360469130067171,0.22560009338986872,0.263036816715495,0.32657314435866036,0.29321512736355415,0.2768764623241826,0.20705867364982308,0.2129272023066062,0.3346136319534997,0.23828597564053325,0.20487899579368282,0.26290402258880524,0.25512884392580554
bge-large-en-v1.5,0.24423852935684573,0.46896987128249257,0.297386797162725,1.0,0.24450263953712315,0.2476452954987148,0.2163132893703933,0.18782217508738752,0.2300205133010267,0.2658546049837761,0.2681047299302324,0.25494019587517025,0.18632336790102388,0.1907023934966889,0.4332201579377111,0.1774683861890554,0.18890023624220528,0.22733116298576686,0.2176610875663158
bge-small-en-v1.5,0.21267551619942143,0.2626291336756347,0.28631421527020007,0.24450263953712315,1.0,0.24413767338016232,0.17910947064709046,0.20043586347252249,0.18562634441657075,0.2144744006654685,0.2396876903052155,0.24266838237078428,0.16867339296877565,0.18782626861891266,0.2708131999582227,0.16665038233469257,0.1588332795496821,0.18325856003540583,0.16424647547262153
e5-base-v2,0.2941362633710313,0.2567557108827373,0.29627535545074507,0.2476452954987148,0.24413767338016232,1.0,0.2872174404727197,0.28255763770191406,0.3056503385614115,0.24258632104145028,0.22511396247050894,0.2531877961881428,0.20160572619614464,0.23586206359021272,0.2805816268684956,0.23127293362892615,0.24258640695065148,0.2759350734655378,0.2845039639420761
e5-large-v2,0.1993858562810188,0.21325599744479193,0.2360469130067171,0.2163132893703933,0.17910947064709046,0.2872174404727197,1.0,0.2588364521972921,0.24801583976341576,0.2294440053163756,0.19011502975966052,0.22430447713463594,0.14720584770848713,0.1876920108841815,0.22529108130202946,0.16988303357637188,0.1858195061614504,0.26140577185565367,0.24203879468866257
e5-small-v2,0.1866724031649248,0.19767017234412287,0.22560009338986872,0.18782217508738752,0.20043586347252249,0.28255763770191406,0.2588364521972921,1.0,0.23252629790603419,0.17186007870700185,0.18382566021267743,0.17597137328769683,0.13618249377407715,0.17543681550626844,0.21304634322020213,0.17484801822329465,0.17821421003738752,0.241918132503149,0.22441816032050638
embed-english-v3.0,0.340725440888402,0.21424072313959364,0.263036816715495,0.2300205133010267,0.18562634441657075,0.3056503385614115,0.24801583976341576,0.23252629790603419,1.0,0.2678408215445346,0.20135303799825002,0.20857005577588925,0.21527309639737824,0.23058213918928178,0.2100055925573756,0.20300569032172344,0.23519113431940572,0.3602798171953739,0.29013858202638404
gte-base,0.2348474334749845,0.2943093639671281,0.32657314435866036,0.2658546049837761,0.2144744006654685,0.24258632104145028,0.2294440053163756,0.17186007870700185,0.2678408215445346,1.0,0.30616184372019106,0.31783002675693206,0.17583080149900426,0.2000254440307115,0.30849468698749416,0.1938977623502486,0.20871739461237518,0.245851337077669,0.23657569160211422
gte-large,0.24147762987022417,0.30457732143911737,0.29321512736355415,0.2681047299302324,0.2396876903052155,0.22511396247050894,0.19011502975966052,0.18382566021267743,0.20135303799825002,0.30616184372019106,1.0,0.29575018742944187,0.17104767681483848,0.18868249491954092,0.33567861314781483,0.21630009712718393,0.1520038323768104,0.23751863796519665,0.20678214171455075
gte-small,0.20450920476501155,0.28498627597174286,0.2768764623241826,0.25494019587517025,0.24266838237078428,0.2531877961881428,0.22430447713463594,0.17597137328769683,0.20857005577588925,0.31783002675693206,0.29575018742944187,1.0,0.1627037896425521,0.2059590339170837,0.28681191107735565,0.20031182970930608,0.18735839372859636,0.20347383967732494,0.20171229580528466
gtr-t5-base,0.21822546263505996,0.17714590684733397,0.20705867364982308,0.18632336790102388,0.16867339296877565,0.20160572619614464,0.14720584770848713,0.13618249377407715,0.21527309639737824,0.17583080149900426,0.17104767681483848,0.1627037896425521,1.0,0.28785089100596,0.1764493979966604,0.20586330192452426,0.18837653680522096,0.20621765055437816,0.20673220664936198
gtr-t5-large,0.2553041160700011,0.1876686186240636,0.2129272023066062,0.1907023934966889,0.18782626861891266,0.23586206359021272,0.1876920108841815,0.17543681550626844,0.23058213918928178,0.2000254440307115,0.18868249491954092,0.2059590339170837,0.28785089100596,1.0,0.2116958684493696,0.22238634579446395,0.22435170994302914,0.230046933353977,0.25608421325507064
mxbai-embed-large-v1,0.23969010786014391,0.5731767074306576,0.3346136319534997,0.4332201579377111,0.2708131999582227,0.2805816268684956,0.22529108130202946,0.21304634322020213,0.2100055925573756,0.30849468698749416,0.33567861314781483,0.28681191107735565,0.1764493979966604,0.2116958684493696,1.0,0.1850243372765183,0.18183020469948905,0.234217499934677,0.23785881073154883
sentence-t5-base,0.19623451181972507,0.16869676632317884,0.23828597564053325,0.1774683861890554,0.16665038233469257,0.23127293362892615,0.16988303357637188,0.17484801822329465,0.20300569032172344,0.1938977623502486,0.21630009712718393,0.20031182970930608,0.20586330192452426,0.22238634579446395,0.1850243372765183,1.0,0.2925516334966742,0.20514982282651936,0.22989743023842663
sentence-t5-large,0.21707718132507053,0.19068282027821973,0.20487899579368282,0.18890023624220528,0.1588332795496821,0.24258640695065148,0.1858195061614504,0.17821421003738752,0.23519113431940572,0.20871739461237518,0.1520038323768104,0.18735839372859636,0.18837653680522096,0.22435170994302914,0.18183020469948905,0.2925516334966742,1.0,0.2569553671190237,0.22182068490778242
text-embedding-3-large,0.31891897892664606,0.23364240895499477,0.26290402258880524,0.22733116298576686,0.18325856003540583,0.2759350734655378,0.26140577185565367,0.241918132503149,0.3602798171953739,0.245851337077669,0.23751863796519665,0.20347383967732494,0.20621765055437816,0.230046933353977,0.234217499934677,0.20514982282651936,0.2569553671190237,1.0,0.3463289447928907
text-embedding-3-small,0.2912601249149787,0.21933760595653967,0.25512884392580554,0.2176610875663158,0.16424647547262153,0.2845039639420761,0.24203879468866257,0.22441816032050638,0.29013858202638404,0.23657569160211422,0.20678214171455075,0.20171229580528466,0.20673220664936198,0.25608421325507064,0.23785881073154883,0.22989743023842663,0.22182068490778242,0.3463289447928907,1.0
