,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.1192063492063492,0.08444444444444443,0.14396825396825394,0.06777777777777777,0.12253968253968253,0.16095238095238096,0.0911111111111111,0.12936507936507938,0.1407936507936508,0.12158730158730158,0.0953968253968254,0.1276190476190476,0.11253968253968254,0.11523809523809522,0.1026984126984127,0.2338095238095238,0.1923809523809524
UAE-Large-V1,0.1192063492063492,1.0,0.12698412698412698,0.5469841269841269,0.12555555555555556,0.1111111111111111,0.11492063492063491,0.10047619047619047,0.22015873015873016,0.33841269841269833,0.20507936507936506,0.11428571428571428,0.12031746031746032,0.7147619047619048,0.13539682539682538,0.10047619047619047,0.13476190476190475,0.14047619047619048
bge-base-en-v1.5,0.08444444444444443,0.12698412698412698,1.0,0.11428571428571427,0.1876190476190476,0.11666666666666665,0.08222222222222221,0.06666666666666667,0.17142857142857143,0.15253968253968256,0.11031746031746031,0.11047619047619048,0.08984126984126985,0.11428571428571428,0.0853968253968254,0.07539682539682539,0.09666666666666666,0.12444444444444444
bge-large-en-v1.5,0.14396825396825394,0.5469841269841269,0.11428571428571427,1.0,0.09,0.12666666666666665,0.10222222222222221,0.07714285714285715,0.18396825396825395,0.30920634920634915,0.17682539682539683,0.11095238095238097,0.10428571428571427,0.5676190476190475,0.12761904761904763,0.09936507936507935,0.1603174603174603,0.14968253968253967
bge-small-en-v1.5,0.06777777777777777,0.12555555555555556,0.1876190476190476,0.09,1.0,0.08,0.0953968253968254,0.09047619047619047,0.09,0.10603174603174603,0.18857142857142858,0.10555555555555556,0.09,0.11936507936507937,0.05444444444444445,0.04555555555555555,0.05,0.058888888888888886
e5-base-v2,0.12253968253968253,0.1111111111111111,0.11666666666666665,0.12666666666666665,0.08,1.0,0.1849206349206349,0.20634920634920634,0.13158730158730159,0.10825396825396826,0.1480952380952381,0.08936507936507937,0.1007936507936508,0.12111111111111111,0.09,0.07206349206349207,0.1414285714285714,0.156984126984127
e5-large-v2,0.16095238095238096,0.11492063492063491,0.08222222222222221,0.10222222222222221,0.0953968253968254,0.1849206349206349,1.0,0.17,0.10539682539682542,0.09333333333333332,0.1249206349206349,0.07666666666666667,0.10920634920634921,0.09777777777777778,0.09428571428571426,0.0953968253968254,0.12698412698412698,0.13428571428571429
e5-small-v2,0.0911111111111111,0.10047619047619047,0.06666666666666667,0.07714285714285715,0.09047619047619047,0.20634920634920634,0.17,1.0,0.09714285714285714,0.06714285714285713,0.07269841269841269,0.06222222222222222,0.07825396825396826,0.08714285714285713,0.07920634920634921,0.07365079365079365,0.08714285714285713,0.07888888888888888
gte-base,0.12936507936507938,0.22015873015873016,0.17142857142857143,0.18396825396825395,0.09,0.13158730158730159,0.10539682539682542,0.09714285714285714,1.0,0.28,0.19476190476190475,0.1253968253968254,0.1153968253968254,0.22460317460317458,0.11269841269841269,0.13238095238095238,0.1353968253968254,0.15920634920634918
gte-large,0.1407936507936508,0.33841269841269833,0.15253968253968256,0.30920634920634915,0.10603174603174603,0.10825396825396826,0.09333333333333332,0.06714285714285713,0.28,1.0,0.2733333333333334,0.14206349206349206,0.13698412698412699,0.35111111111111115,0.13047619047619047,0.13095238095238093,0.18904761904761905,0.19539682539682537
