,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.148,0.10799999999999998,0.14800000000000002,0.044000000000000004,0.152,0.16799999999999998,0.092,0.096,0.14,0.11199999999999999,0.1,0.14400000000000002,0.136,0.084,0.10400000000000001,0.24799999999999997,0.22399999999999998
UAE-Large-V1,0.148,1.0,0.14400000000000002,0.48,0.1,0.136,0.1,0.05600000000000001,0.16399999999999998,0.30399999999999994,0.172,0.096,0.14400000000000002,0.632,0.10400000000000001,0.11599999999999998,0.184,0.14400000000000002
bge-base-en-v1.5,0.10799999999999998,0.14400000000000002,1.0,0.14800000000000002,0.172,0.12,0.084,0.064,0.22799999999999998,0.18,0.12400000000000003,0.12,0.08,0.156,0.096,0.092,0.092,0.076
bge-large-en-v1.5,0.14800000000000002,0.48,0.14800000000000002,1.0,0.092,0.132,0.1,0.044000000000000004,0.152,0.24,0.152,0.12,0.132,0.48,0.09600000000000002,0.128,0.2,0.124
bge-small-en-v1.5,0.044000000000000004,0.1,0.172,0.092,1.0,0.07200000000000001,0.08,0.07600000000000001,0.07600000000000001,0.11199999999999999,0.16400000000000003,0.08,0.08,0.096,0.05600000000000001,0.05600000000000001,0.04,0.04800000000000001
e5-base-v2,0.152,0.136,0.12,0.132,0.07200000000000001,1.0,0.20000000000000004,0.15600000000000003,0.136,0.16,0.17199999999999996,0.12399999999999999,0.096,0.16,0.084,0.055999999999999994,0.156,0.16399999999999998
e5-large-v2,0.16799999999999998,0.1,0.084,0.1,0.08,0.20000000000000004,1.0,0.124,0.084,0.09999999999999998,0.096,0.11199999999999999,0.10400000000000001,0.1,0.11199999999999999,0.08399999999999999,0.16799999999999998,0.16399999999999998
e5-small-v2,0.092,0.05600000000000001,0.064,0.044000000000000004,0.07600000000000001,0.15600000000000003,0.124,1.0,0.032,0.036,0.044,0.044000000000000004,0.05600000000000001,0.044,0.064,0.072,0.08,0.076
gte-base,0.096,0.16399999999999998,0.22799999999999998,0.152,0.07600000000000001,0.136,0.084,0.032,1.0,0.28,0.228,0.11200000000000002,0.096,0.228,0.10800000000000001,0.068,0.152,0.11199999999999999
gte-large,0.14,0.30399999999999994,0.18,0.24,0.11199999999999999,0.16,0.09999999999999998,0.036,0.28,1.0,0.284,0.12,0.11199999999999999,0.384,0.08800000000000001,0.10400000000000002,0.17200000000000004,0.14
gte-small,0.11199999999999999,0.172,0.12400000000000003,0.152,0.16400000000000003,0.17199999999999996,0.096,0.044,0.228,0.284,1.0,0.096,0.064,0.176,0.10400000000000001,0.07600000000000001,0.10800000000000001,0.07200000000000001
gtr-t5-base,0.1,0.096,0.12,0.12,0.08,0.12399999999999999,0.11199999999999999,0.044000000000000004,0.11200000000000002,0.12,0.096,1.0,0.272,0.096,0.16,0.136,0.16399999999999998,0.14800000000000002
gtr-t5-large,0.14400000000000002,0.14400000000000002,0.08,0.132,0.08,0.096,0.10400000000000001,0.05600000000000001,0.096,0.11199999999999999,0.064,0.272,1.0,0.124,0.128,0.152,0.192,0.192
mxbai-embed-large-v1,0.136,0.632,0.156,0.48,0.096,0.16,0.1,0.044,0.228,0.384,0.176,0.096,0.124,1.0,0.09200000000000001,0.11600000000000002,0.17600000000000002,0.11200000000000002
sentence-t5-base,0.084,0.10400000000000001,0.096,0.09600000000000002,0.05600000000000001,0.084,0.11199999999999999,0.064,0.10800000000000001,0.08800000000000001,0.10400000000000001,0.16,0.128,0.09200000000000001,1.0,0.168,0.14,0.1
sentence-t5-large,0.10400000000000001,0.11599999999999998,0.092,0.128,0.05600000000000001,0.055999999999999994,0.08399999999999999,0.072,0.068,0.10400000000000002,0.07600000000000001,0.136,0.152,0.11600000000000002,0.168,1.0,0.168,0.11600000000000002
text-embedding-3-large,0.24799999999999997,0.184,0.092,0.2,0.04,0.156,0.16799999999999998,0.08,0.152,0.17200000000000004,0.10800000000000001,0.16399999999999998,0.192,0.17600000000000002,0.14,0.168,1.0,0.364
text-embedding-3-small,0.22399999999999998,0.14400000000000002,0.076,0.124,0.04800000000000001,0.16399999999999998,0.16399999999999998,0.076,0.11199999999999999,0.14,0.07200000000000001,0.14800000000000002,0.192,0.11200000000000002,0.1,0.11600000000000002,0.364,1.0
