,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.1293508836217038,0.12051804024002712,0.1262895857992129,0.10410869933750107,0.1353153984983012,0.11866428213172492,0.09353984015580677,0.1361181825907102,0.1275130503784179,0.12198333148296352,0.13873654945050126,0.16005548017071924,0.13357496772970456,0.10766797049333449,0.11707437771746479,0.25574054775715543,0.21883932651799742
UAE-Large-V1,0.1293508836217038,1.0,0.21887137152052807,0.563299616055408,0.1788804610641612,0.1459255457193421,0.12034638278480012,0.10856128533999235,0.19822291725207059,0.3719857890397077,0.22015699835114189,0.11696442843289406,0.1206780777341379,0.7111666921235427,0.13264115147538294,0.11575736161830065,0.16053866516251353,0.18180699275169626
bge-base-en-v1.5,0.12051804024002712,0.21887137152052807,1.0,0.20144156853277334,0.20066532498007594,0.13572072175766062,0.10694481806636437,0.10593925004244424,0.2890024142746631,0.21688493244590482,0.18611532832584982,0.10901216656107658,0.10942347486390763,0.20715817681621965,0.11402663234525474,0.09078720870801144,0.13809007417442973,0.15143746122800583
bge-large-en-v1.5,0.1262895857992129,0.563299616055408,0.20144156853277334,1.0,0.15672255705668223,0.14781546341999321,0.11578437834727116,0.09351645651330698,0.18359759054102184,0.3023302892873169,0.20298498117454525,0.12092696147424256,0.11865083363180073,0.5448905401339807,0.12118726402202701,0.10971836521385368,0.1662729903275426,0.1861174674602565
bge-small-en-v1.5,0.10410869933750107,0.1788804610641612,0.20066532498007594,0.15672255705668223,1.0,0.1223815872889164,0.10214152435363552,0.12031967435333779,0.13596319403679316,0.16120436474487668,0.2577502914218883,0.10776803235902958,0.10338752153434841,0.16732204270797632,0.10139468561162022,0.07741762008729389,0.10075303524946917,0.12447306075559916
e5-base-v2,0.1353153984983012,0.1459255457193421,0.13572072175766062,0.14781546341999321,0.1223815872889164,1.0,0.22407956808482396,0.17020656518141697,0.1368236349717095,0.1306732329936791,0.13670555214469726,0.13533372802432064,0.12769360204548194,0.15489500796954092,0.12635649320415615,0.11331662072105203,0.14961287544128013,0.1745281649371913
e5-large-v2,0.11866428213172492,0.12034638278480012,0.10694481806636437,0.11578437834727116,0.10214152435363552,0.22407956808482396,1.0,0.18337621389163342,0.10806007528760367,0.10610624763035467,0.1022176294994373,0.1094287713324239,0.11335821841249319,0.12254241349019361,0.10627201581920785,0.10478153384986198,0.13121665915724717,0.14406742366853276
e5-small-v2,0.09353984015580677,0.10856128533999235,0.10593925004244424,0.09351645651330698,0.12031967435333779,0.17020656518141697,0.18337621389163342,1.0,0.08096706602186546,0.0942694789798098,0.09875315843983397,0.08187645931009876,0.07705895193101119,0.10860071300316454,0.07650425207051195,0.07255259115273285,0.08792171645559275,0.09878356512205846
gte-base,0.1361181825907102,0.19822291725207059,0.2890024142746631,0.18359759054102184,0.13596319403679316,0.1368236349717095,0.10806007528760367,0.08096706602186546,1.0,0.27579285572860646,0.25384802040013715,0.11725134516757757,0.11909516334697058,0.21297721074867276,0.12733871558134546,0.11697587714091506,0.17516146195627352,0.18834670204791312
gte-large,0.1275130503784179,0.3719857890397077,0.21688493244590482,0.3023302892873169,0.16120436474487668,0.1306732329936791,0.10610624763035467,0.0942694789798098,0.27579285572860646,1.0,0.2648441735519815,0.12308532150950886,0.11951179637573739,0.38431133649732374,0.13396697961044082,0.11993569195437973,0.17217524895785544,0.19110240241434476
