,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.12888031258101854,0.12418766253974665,0.13349124466021803,0.11112778977966677,0.13694067529006074,0.1338404927239664,0.10489631124899906,0.13548600502118682,0.13799586848699769,0.12256021954928001,0.13832328250353457,0.16366340252869452,0.13632476038149588,0.11999333542350532,0.12284198429905091,0.2598994358629485,0.22305114064041387
UAE-Large-V1,0.12888031258101854,1.0,0.22706181997160624,0.5868308954301346,0.19054900078417364,0.1591443568918182,0.12905054022035134,0.10641824952290371,0.21651712095246559,0.3691976836573199,0.22765907028922613,0.12497943439947458,0.12746647313293452,0.7117326458882502,0.14777421282052644,0.12307658319846211,0.16621109753454621,0.18300969422469773
bge-base-en-v1.5,0.12418766253974665,0.22706181997160624,1.0,0.21035055581152132,0.21320950588161772,0.1475666630781144,0.12113571878150378,0.10973322565334913,0.3010353934626721,0.2375517976639193,0.20340822313124185,0.1160905751729117,0.11665184350715245,0.22623319785182627,0.13105149049545733,0.10133829328909216,0.1518019416898372,0.16877054878111097
bge-large-en-v1.5,0.13349124466021803,0.5868308954301346,0.21035055581152132,1.0,0.1614824751192239,0.16111939943763873,0.12359279216692787,0.09443741258462468,0.20843135630170098,0.3262911109497741,0.2029922896944127,0.12370398960211705,0.12036526105915138,0.5783190332294822,0.14262311900330105,0.12213580167298631,0.1799910727138045,0.18722600357771949
bge-small-en-v1.5,0.11112778977966677,0.19054900078417364,0.21320950588161772,0.1614824751192239,1.0,0.1293677822125124,0.10709952013073608,0.12152265445827876,0.1502944322567645,0.18183787434802934,0.2746653530867973,0.11684523869926927,0.11349253717045882,0.17615717755615357,0.11473003641237277,0.08694855654011997,0.11357384877223652,0.13886391612310992
e5-base-v2,0.13694067529006074,0.1591443568918182,0.1475666630781144,0.16111939943763873,0.1293677822125124,1.0,0.23803543927078474,0.17541058985589786,0.15389070995247617,0.15514802226170235,0.1440077670841417,0.1363547934079052,0.13274154222668086,0.16357952984812502,0.13404686864975063,0.12017816545002878,0.15462314029257546,0.17335828793777025
e5-large-v2,0.1338404927239664,0.12905054022035134,0.12113571878150378,0.12359279216692787,0.10709952013073608,0.23803543927078474,1.0,0.1927617914650002,0.11659716486038857,0.12405199676368371,0.11060677241763614,0.11137193907650092,0.11478444905963948,0.13085805036531292,0.11250083332205847,0.11115781590414693,0.13516858755013658,0.1512915028462185
e5-small-v2,0.10489631124899906,0.10641824952290371,0.10973322565334913,0.09443741258462468,0.12152265445827876,0.17541058985589786,0.1927617914650002,1.0,0.0865662919786967,0.10789362349339501,0.10514048604222576,0.08132939996134408,0.08149675192612126,0.10681443291048177,0.08369235101699679,0.07385359611954176,0.09004387765665424,0.10619035358570864
gte-base,0.13548600502118682,0.21651712095246559,0.3010353934626721,0.20843135630170098,0.1502944322567645,0.15389070995247617,0.11659716486038857,0.0865662919786967,1.0,0.308730892637227,0.27523521556888575,0.12801288968529032,0.1234463569057925,0.23122332662184258,0.14460455163790178,0.1278971981382136,0.1919428555231073,0.207525812351027
gte-large,0.13799586848699769,0.3691976836573199,0.2375517976639193,0.3262911109497741,0.18183787434802934,0.15514802226170235,0.12405199676368371,0.10789362349339501,0.308730892637227,1.0,0.29297867942445016,0.132011525282721,0.13428786748323396,0.3987165387196287,0.15128139685949574,0.1336567644733081,0.1936721508326087,0.2154554496566387
gte-small,0.12256021954928001,0.22765907028922613,0.20340822313124185,0.2029922896944127,0.2746653530867973,0.1440077670841417,0.11060677241763614,0.10514048604222576,0.27523521556888575,0.29297867942445016,1.0,0.12881456613753625,0.11972281154015221,0.23736488749779447,0.15124701910806312,0.12158738299394285,0.1545390562705642,0.19515358085570852
gtr-t5-base,0.13832328250353457,0.12497943439947458,0.1160905751729117,0.12370398960211705,0.11684523869926927,0.1363547934079052,0.11137193907650092,0.08132939996134408,0.12801288968529032,0.132011525282721,0.12881456613753625,1.0,0.2689840225427731,0.12895551411963505,0.1729122505736737,0.13722870530874523,0.15330257550558435,0.16957931600448944
gtr-t5-large,0.16366340252869452,0.12746647313293452,0.11665184350715245,0.12036526105915138,0.11349253717045882,0.13274154222668086,0.11478444905963948,0.08149675192612126,0.1234463569057925,0.13428786748323396,0.11972281154015221,0.2689840225427731,1.0,0.1289515404146121,0.1463137372872424,0.1661822139745944,0.1781618805243799,0.18469816294198033
mxbai-embed-large-v1,0.13632476038149588,0.7117326458882502,0.22623319785182627,0.5783190332294822,0.17615717755615357,0.16357952984812502,0.13085805036531292,0.10681443291048177,0.23122332662184258,0.3987165387196287,0.23736488749779447,0.12895551411963505,0.1289515404146121,1.0,0.15859485045332836,0.13454685693163587,0.1796835340231408,0.19289485645601473
sentence-t5-base,0.11999333542350532,0.14777421282052644,0.13105149049545733,0.14262311900330105,0.11473003641237277,0.13404686864975063,0.11250083332205847,0.08369235101699679,0.14460455163790178,0.15128139685949574,0.15124701910806312,0.1729122505736737,0.1463137372872424,0.15859485045332836,1.0,0.2749998950932827,0.15000074396127575,0.15705877866865436
sentence-t5-large,0.12284198429905091,0.12307658319846211,0.10133829328909216,0.12213580167298631,0.08694855654011997,0.12017816545002878,0.11115781590414693,0.07385359611954176,0.1278971981382136,0.1336567644733081,0.12158738299394285,0.13722870530874523,0.1661822139745944,0.13454685693163587,0.2749998950932827,1.0,0.1516906517666969,0.15951154648793162
text-embedding-3-large,0.2598994358629485,0.16621109753454621,0.1518019416898372,0.1799910727138045,0.11357384877223652,0.15462314029257546,0.13516858755013658,0.09004387765665424,0.1919428555231073,0.1936721508326087,0.1545390562705642,0.15330257550558435,0.1781618805243799,0.1796835340231408,0.15000074396127575,0.1516906517666969,1.0,0.36439871396672663
text-embedding-3-small,0.22305114064041387,0.18300969422469773,0.16877054878111097,0.18722600357771949,0.13886391612310992,0.17335828793777025,0.1512915028462185,0.10619035358570864,0.207525812351027,0.2154554496566387,0.19515358085570852,0.16957931600448944,0.18469816294198033,0.19289485645601473,0.15705877866865436,0.15951154648793162,0.36439871396672663,1.0
