,SFR-Embedding-Mistral,UAE-Large-V1,bge-base-en-v1.5,bge-large-en-v1.5,bge-small-en-v1.5,e5-base-v2,e5-large-v2,e5-small-v2,embed-english-v3.0,gte-base,gte-large,gte-small,gtr-t5-base,gtr-t5-large,mxbai-embed-large-v1,sentence-t5-base,sentence-t5-large,text-embedding-3-large,text-embedding-3-small
SFR-Embedding-Mistral,1.0,0.24021782420377158,0.24783800553615584,0.2728556252451428,0.18592034569332902,0.30154864461940895,0.21915813367017598,0.18252848719050951,0.32138697335474264,0.2161435508178358,0.16825139963539867,0.15954898085029373,0.2143366698208202,0.2115487042766748,0.24915770826264205,0.15296687139888138,0.1687481355175679,0.3388452102855453,0.3038121632569312
UAE-Large-V1,0.24021782420377158,1.0,0.29360390754095944,0.3745146599665528,0.18969378774389256,0.23392830928854036,0.20864238119388034,0.1742896118618084,0.2733005362418846,0.2512768710189855,0.2428169344379965,0.1706440101045236,0.1908882763749361,0.18489249184857326,0.5114005013932827,0.1531952078253955,0.14757562011073153,0.2766639483615146,0.22835934521116708
bge-base-en-v1.5,0.24783800553615584,0.29360390754095944,1.0,0.2673891098939275,0.23868322062243383,0.25972405549412175,0.20884099828985228,0.19163832121651328,0.28052088503674577,0.30740416223810924,0.22299217020956164,0.19074899825667568,0.2043972957066758,0.182489411478137,0.28228226732774914,0.17976508592807303,0.14482912601178458,0.2518828644427725,0.2016985896511212
bge-large-en-v1.5,0.2728556252451428,0.3745146599665528,0.2673891098939275,1.0,0.19428254995267097,0.23876455724277734,0.21512478465234366,0.15330998399208742,0.2712349519066048,0.23728663306482836,0.21328434615389655,0.16618541321900288,0.2038036318842327,0.19656873185993506,0.38310945356495113,0.16142920894325197,0.16801736057450412,0.24801566463479463,0.25761209655881095
bge-small-en-v1.5,0.18592034569332902,0.18969378774389256,0.23868322062243383,0.19428254995267097,1.0,0.20622672632329006,0.1713312485730778,0.15336251388775238,0.22938902661785307,0.188888494523897,0.16917451562861432,0.24443457542576952,0.15383639863021498,0.14338581731248892,0.19891042241473816,0.1153768063843025,0.14158478761007376,0.2035631021504158,0.19082392645936072
e5-base-v2,0.30154864461940895,0.23392830928854036,0.25972405549412175,0.23876455724277734,0.20622672632329006,1.0,0.22792588061211597,0.21122867652704624,0.3043106346223622,0.2242317388737533,0.17545031009619985,0.20511596153460868,0.19684334996662328,0.2048183447088069,0.25231670994756866,0.15260801537350344,0.16640810553250088,0.28294137567068045,0.2633430467733391
e5-large-v2,0.21915813367017598,0.20864238119388034,0.20884099828985228,0.21512478465234366,0.1713312485730778,0.22792588061211597,1.0,0.19459672906180278,0.27304790070740287,0.1851230802476892,0.15887349943634108,0.14760841468923494,0.18794367327727846,0.14899481616830265,0.23512673776827492,0.12557080035655507,0.14149886080832355,0.24880010034455766,0.2120870178559472
e5-small-v2,0.18252848719050951,0.1742896118618084,0.19163832121651328,0.15330998399208742,0.15336251388775238,0.21122867652704624,0.19459672906180278,1.0,0.19482582145146018,0.16065656584391835,0.11917323417584644,0.12223822983370758,0.16216926795087133,0.16862562153056168,0.18995804925430368,0.14143875586404833,0.1262247746226086,0.25240813206888846,0.18037194215555596
embed-english-v3.0,0.32138697335474264,0.2733005362418846,0.28052088503674577,0.2712349519066048,0.22938902661785307,0.3043106346223622,0.27304790070740287,0.19482582145146018,1.0,0.2360044560688425,0.1973641349848062,0.17888946986656531,0.21788806512408965,0.2105870512153369,0.28119471951141106,0.15180017882821878,0.16312141350347584,0.3087281246970724,0.28661763055027917
gte-base,0.2161435508178358,0.2512768710189855,0.30740416223810924,0.23728663306482836,0.188888494523897,0.2242317388737533,0.1851230802476892,0.16065656584391835,0.2360044560688425,1.0,0.30901299701079443,0.22730253958900942,0.18438458810993988,0.16087240927578703,0.2656798687700466,0.14255564131513088,0.1460516570569541,0.22505044432148938,0.21002491939148385
gte-large,0.16825139963539867,0.2428169344379965,0.22299217020956164,0.21328434615389655,0.16917451562861432,0.17545031009619985,0.15887349943634108,0.11917323417584644,0.1973641349848062,0.30901299701079443,1.0,0.2319378878176549,0.12490268501558116,0.13486472177954092,0.2685755251050118,0.11848460400909461,0.14126382144008567,0.18468164017034194,0.1935973755660715
gte-small,0.15954898085029373,0.1706440101045236,0.19074899825667568,0.16618541321900288,0.24443457542576952,0.20511596153460868,0.14760841468923494,0.12223822983370758,0.17888946986656531,0.22730253958900942,0.2319378878176549,1.0,0.11144602936021063,0.09422911501605612,0.19600387994277024,0.10140774946974282,0.12114652178579649,0.1516968064244432,0.16382761969622933
gtr-t5-base,0.2143366698208202,0.1908882763749361,0.2043972957066758,0.2038036318842327,0.15383639863021498,0.19684334996662328,0.18794367327727846,0.16216926795087133,0.21788806512408965,0.18438458810993988,0.12490268501558116,0.11144602936021063,1.0,0.255948826863104,0.19147228113485468,0.12791979179602847,0.11956066129022272,0.23305627319451097,0.2184125834143164
gtr-t5-large,0.2115487042766748,0.18489249184857326,0.182489411478137,0.19656873185993506,0.14338581731248892,0.2048183447088069,0.14899481616830265,0.16862562153056168,0.2105870512153369,0.16087240927578703,0.13486472177954092,0.09422911501605612,0.255948826863104,1.0,0.18913830953714253,0.09377952501281717,0.10526403199356796,0.27565965035663154,0.21112455010993006
mxbai-embed-large-v1,0.24915770826264205,0.5114005013932827,0.28228226732774914,0.38310945356495113,0.19891042241473816,0.25231670994756866,0.23512673776827492,0.18995804925430368,0.28119471951141106,0.2656798687700466,0.2685755251050118,0.19600387994277024,0.19147228113485468,0.18913830953714253,1.0,0.1651535893245299,0.15101767125474766,0.29139609178534853,0.24990734162399744
sentence-t5-base,0.15296687139888138,0.1531952078253955,0.17976508592807303,0.16142920894325197,0.1153768063843025,0.15260801537350344,0.12557080035655507,0.14143875586404833,0.15180017882821878,0.14255564131513088,0.11848460400909461,0.10140774946974282,0.12791979179602847,0.09377952501281717,0.1651535893245299,1.0,0.217363708829305,0.15616988286166802,0.1640998007134262
sentence-t5-large,0.1687481355175679,0.14757562011073153,0.14482912601178458,0.16801736057450412,0.14158478761007376,0.16640810553250088,0.14149886080832355,0.1262247746226086,0.16312141350347584,0.1460516570569541,0.14126382144008567,0.12114652178579649,0.11956066129022272,0.10526403199356796,0.15101767125474766,0.217363708829305,1.0,0.16751839267633778,0.18017950334023117
text-embedding-3-large,0.3388452102855453,0.2766639483615146,0.2518828644427725,0.24801566463479463,0.2035631021504158,0.28294137567068045,0.24880010034455766,0.25240813206888846,0.3087281246970724,0.22505044432148938,0.18468164017034194,0.1516968064244432,0.23305627319451097,0.27565965035663154,0.29139609178534853,0.15616988286166802,0.16751839267633778,1.0,0.3268674394957037
text-embedding-3-small,0.3038121632569312,0.22835934521116708,0.2016985896511212,0.25761209655881095,0.19082392645936072,0.2633430467733391,0.2120870178559472,0.18037194215555596,0.28661763055027917,0.21002491939148385,0.1935973755660715,0.16382761969622933,0.2184125834143164,0.21112455010993006,0.24990734162399744,0.1640998007134262,0.18017950334023117,0.3268674394957037,1.0
